abbr_source_title	OCC	global_citations	local_citations
Boletin Tecnico	1820	2810	12
DYNA	1341	5321	45
Comput. Sist.	1037	3310	120
Rev. Mex. Ing. Quimica	903	5404	197
Inf Tecnol	882	3648	7
Interciencia	871	2342	8
Form. Univ.	701	4205	7
Tecnologia Ciencias Agua	625	1552	2
Electron. J. Biotechnol.	593	11229	85
J. Appl. Res. Technol.	580	5889	65
