revistas,scielo_url,publicador,status
"Ingeniería sísmica","http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0185-092X&lng=en","Sociedad Mexicana de Ingeniería Sísmica A.C.","current"
"Ingeniería y Ciencia","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1794-9165&lng=en","Escuela de Ciencias y Humanidades y Escuela de Ingeniería de la Universidad EAFIT","current"
"Ingeniería y competitividad","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0123-3033&lng=en","Facultad de Ingeniería, Universidad del Valle","current"
"Ingeniería y Desarrollo","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0122-3461&lng=en","Fundación Universidad del Norte","current"
"Ingeniería y Universidad","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0123-2126&lng=en","Pontificia Universidad Javeriana","current"
"Ingeniería, investigación y tecnología","http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1405-7743&lng=en","Facultad de Ingeniería, UNAM","current"
"Interciencia","http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0378-1844&lng=en","ASOCIACIÓN INTERCIENCIA","suspended"
"International Journal of Combinatorial Optimization Problems and Informatics","http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-1558&lng=en","EDITADA (EDITorial Academica Dragon Azteca, S. de R.L. de C.V. or Aztec Dragon Academic Publishing)","suspended"
"Investigación & Desarrollo","http://www.scielo.org.bo/scielo.php?script=sci_serial&pid=2518-4431&lng=en","UNIVERSIDAD PRIVADA BOLIVIANA","current"
"Iteckne","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1692-1798&lng=en","Universidad Santo Tomás","current"
"Journal of Aerospace Technology and Management","http://www.scielo.br/scielo.php?script=sci_serial&pid=2175-9146&lng=en","Departamento de Ciência e Tecnologia Aeroespacial","current"
"Journal of applied research and technology","http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1665-6423&lng=en","UNAM, Centro de Ciencias Aplicadas y Desarrollo Tecnológico","suspended"
"Journal of Microwaves, Optoelectronics and Electromagnetic Applications","http://www.scielo.br/scielo.php?script=sci_serial&pid=2179-1074&lng=en","Sociedade Brasileira de Microondas e Optoeletrônica e Sociedade Brasileira de Eletromagnetismo","current"
"Journal of technology management & innovation","http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-2724&lng=en","Universidad Alberto Hurtado. Facultad de Economía y Negocios","current"
"Journal of the Brazilian Society of Mechanical Sciences","http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-7386&lng=en","The Brazilian Society of Mechanical Sciences","deceased"
"Journal of the Brazilian Society of Mechanical Sciences and Engineering","http://www.scielo.br/scielo.php?script=sci_serial&pid=1678-5878&lng=en","Associação Brasileira de Engenharia e Ciências Mecânicas - ABCM","suspended"
"Journal of the Selva Andina Animal Science","http://www.scielo.org.bo/scielo.php?script=sci_serial&pid=2311-2581&lng=en","Journal of the Selva Andina Animal Science.","current"
"Journal of the Selva Andina Biosphere","http://www.scielo.org.bo/scielo.php?script=sci_serial&pid=2308-3859&lng=en","Journal of the Selva Andina Biosphere.","current"
"Journal of the South African Institution of Civil Engineering","http://www.scielo.org.za/scielo.php?script=sci_serial&pid=1021-2019&lng=en","South African Institution of Civil Engineering","current"
"Journal of the Southern African Institute of Mining and Metallurgy","http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2225-6253&lng=en","The Southern African Institute of Mining and Metallurgy","current"
"Journal of Transport Literature","http://www.scielo.br/scielo.php?script=sci_serial&pid=2238-1031&lng=en","Sociedade Brasileira de Planejamento dos Transportes","suspended"
"Latin American Journal of Solids and Structures","http://www.scielo.br/scielo.php?script=sci_serial&pid=1679-7825&lng=en","Associação Brasileira de Ciências Mecânicas","current"
